theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-29,1.1500,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-28,1.3300,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-27,1.4000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-26,1.4000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-25,1.4000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-24,1.4100,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-23,1.3900,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-22,1.3900,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-21,1.4000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-20,1.3900,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-19,1.4200,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-18,1.4100,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-17,1.3800,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-16,1.4200,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-15,1.4400,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-14,1.4500,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-13,1.5100,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-12,1.5000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-11,1.5100,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-10,1.6000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_cases_rateRollingMean,all,all,default,2025,2025-01-09,1.6000,False
