"Aggregate energy commodity balance, 2023, gross calorific values (ktoe)",,,,,,,,,,
This worksheet contains one table,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,
Column1,Coal,Manufactured fuel [note 1],Primary oils,Petroleum products,Natural gas [note 2],Bioenergy & waste [note 3],Primary electricity,Electricity,Heat sold,Total
Production,358,0,"36,619",0,"32,924","13,730","17,539",0,0,"101,169"
Imports,"2,383","1,165","49,861","33,269","42,555","5,327",0,"2,865",0,"137,426"
Exports,-479,-5,"-30,239","-20,679","-15,098",-641,0,-816,0,"-67,956"
Marine bunkers,0,0,0,"-2,086",0,0,0,0,0,"-2,086"
Stock change [note 4],+779 ,+312 ,-771 ,-30 ,-577 ,-11 ,0,0,0,-298 
Total supply,"3,042","1,473","55,469","10,474","59,804","18,406","17,539","2,049",0,"168,256"
Statistical difference [note 5],-22,-3 ,-0 ,+103 ,+132 ,0,0,-24 ,0,+186 
Total demand,"3,063","1,476","55,469","10,371","59,672","18,406","17,539","2,074",0,"168,070"
Transfers,0,+13 ,-143 ,-15 ,+622 ,-647 ,"-8,748 ","+8,748 ",0,-170 
Transformation,"-2,235",-686,"-55,326","54,340","-19,979","-10,562","-8,790","16,174","1,523","-25,542"
Electricity generation,-922,-369,0,-426,"-17,705","-10,319","-8,790","16,174",0,"-22,358"
Major power producers,-922,0,0,-69,"-15,567","-4,441","-8,790","13,111",0,"-16,679"
Autogenerators,-1,-369,0,-357,"-2,138","-5,877",0,"3,062",0,"-5,679"
Heat generation,-4,-1,0,-56,"-2,273",-244,0,0,"1,523","-1,055"
Petroleum refineries,0,0,"-55,665","55,235",0,0,0,0,0,-430
Coke manufacture,-606,557,0,0,0,0,0,0,0,-49
Blast furnaces,-605,"-1,002",0,0,0,0,0,0,0,"-1,607"
Patent fuel manufacture,-99,129,0,-46,0,0,0,0,0,-16
Other [note 6],0,0,339,-366,0,0,0,0,0,-27
Energy industry use,0,293,0,"3,618","4,263",0,0,"1,368",336,"9,878"
Electricity generation,0,0,0,0,0,0,0,958,0,958
Oil and gas extraction,0,0,0,508,"3,567",0,0,46,0,"4,121"
Petroleum refineries,0,0,0,"3,110",225,0,0,284,336,"3,956"
Coal extraction,0,0,0,0,4,0,0,9,0,13
Coke manufacture,0,95,0,0,1,0,0,2,0,97
Blast furnaces,0,198,0,0,35,0,0,12,0,245
Patent fuel manufacture,0,0,0,0,0,0,0,0,0,0
Storage [note 7],0,0,0,0,0,0,0,-41,0,-41
Other,0,0,0,0,431,0,0,98,0,529
Losses,0,62,0,0,423,0,0,"2,491",0,"2,976"
Final consumption,828,448,0,"61,078","35,630","7,196",0,"23,137","1,187","129,504"
Industry,668,294,0,"2,212","7,504","1,745",0,"7,411",586,"20,421"
Unclassified,0,0,0,"1,463",9,528,0,0,0,"2,000"
Iron and steel,21,294,0,16,443,0,0,183,0,957
Non-ferrous metals,16,0,0,1,230,0,0,452,0,699
Mineral products,345,0,0,84,"1,071",347,0,452,0,"2,299"
Chemicals,39,0,0,104,"1,250",96,0,"1,206",124,"2,818"
Mechanical engineering etc,8,0,0,0,750,0,0,463,0,"1,222"
Electrical engineering etc,4,0,0,1,260,0,0,503,0,768
Vehicles,0,0,0,28,386,12,0,322,0,748
"Food, beverages etc",36,0,0,137,"1,531",84,0,938,17,"2,743"
"Textiles, leather etc",0,0,0,45,246,0,0,203,0,493
"Paper, printing etc",0,0,0,28,243,398,0,754,28,"1,451"
Other industries,193,0,0,50,700,281,0,"1,800",418,"3,441"
Construction,7,0,0,252,388,0,0,135,0,783
Transport,11,0,0,"48,869",84,"2,697",0,939,0,"52,601"
Air,0,0,0,"12,258",0,122,0,0,0,"12,380"
Rail,11,0,0,588,0,0,0,408,0,"1,006"
Road,0,0,0,"35,238",84,"2,576",0,531,0,"38,429"
National navigation,0,0,0,785,0,0,0,0,0,785
Pipelines,0,0,0,0,0,0,0,0,0,0
Other,149,127,0,"5,567","28,042","2,753",0,"14,787",601,"52,026"
Domestic,140,127,0,"2,065","20,387","1,300",0,"7,958",271,"32,248"
Public administration,1,0,0,654,"3,001",56,0,"1,271",82,"5,064"
Commercial,4,0,0,"1,628","3,706","1,231",0,"5,263",242,"12,073"
Agriculture,0,0,0,843,65,162,0,295,3,"1,368"
Miscellaneous,5,0,0,376,884,5,0,0,3,"1,273"
Non energy use,0,26,0,"4,431",0,0,0,0,0,"4,457"
